Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Date_of_Hire,Date_of_termination,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode,
18,Yes,Travel_Frequently,Sales,3,Female,3,1,Sales Representative,4,Single,1569,1,Yes,12,3,0,0,2,0,0,0,12th,29-01-2021,,Dept.Head,OFFICE,0,1,No,Recruiter,Part Time,
38,No,Travel_Rarely,Research & Development,4,Female,3,1,Laboratory Technician,3,Married,3306,7,No,19,3,1,7,5,0,0,0,Post-Graduation,25-01-2021,,Dept.Head,OFFICE,2,3,Yes,Walk-in,FullTime,
32,Yes,Travel_Rarely,Sales,1,Male,1,2,Sales Executive,2,Single,6735,6,No,15,3,0,10,2,0,0,0,PHD,17-06-2021,,Work Environment,WFH,1,1,Yes,Recruiter,FullTime,
33,Yes,Travel_Rarely,Sales,16,Female,3,3,Sales Executive,1,Single,8564,2,Yes,20,4,0,11,2,0,0,0,Post-Graduation,07-01-2021,,Salary,OFFICE,5,1,No,Recruiter,Contract,
42,No,Travel_Rarely,Research & Development,13,Male,4,2,Healthcare Representative,1,Married,5538,5,No,18,3,2,10,2,0,0,0,Post-Graduation,02-03-2021,,Work Accident,WFH,3,0,Yes,Job Event,Contract,
18,No,Non-Travel,Research & Development,14,Female,3,1,Research Scientist,3,Single,1514,1,No,16,3,0,0,4,0,0,0,Graduation,23-03-2021,,Work Environment,WFH,4,3,No,Walk-in,Contract,
32,No,Travel_Frequently,Sales,10,Male,3,2,Sales Executive,4,Single,4648,8,No,13,3,0,4,2,0,0,0,Post-Graduation,20-03-2021,,Work Environment,OFFICE,3,3,Yes,Walk-in,Contract,
42,No,Travel_Rarely,Research & Development,8,Male,3,1,Laboratory Technician,3,Single,3968,4,No,13,3,0,8,3,0,0,0,Graduation,09-03-2021,,Better Opportunity,OFFICE,5,1,No,Job Portal,FullTime,
56,No,Travel_Rarely,Sales,11,Female,2,2,Sales Executive,1,Married,5380,4,No,16,3,1,6,3,0,0,0,PHD,30-05-2021,,Better Opportunity,OFFICE,5,0,Yes,Recruiter,Contract,
42,No,Travel_Rarely,Sales,12,Male,3,2,Sales Executive,4,Divorced,5087,3,Yes,12,3,2,14,4,0,0,0,PHD,12-02-2021,,Work Environment,OFFICE,1,2,No,Recruiter,Part Time,
59,No,Travel_Rarely,Research & Development,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,3,12,3,1,0,0,Post-Graduation,10-05-2020,,Work Accident,OFFICE,2,1,Yes,Job Event,Contract,
30,No,Travel_Rarely,Research & Development,24,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,1,1,2,1,0,0,Graduation,28-02-2020,,Work Accident,WFH,2,3,No,Walk-in,Part Time,
22,No,Non-Travel,Research & Development,16,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,1,2,1,0,0,PHD,14-04-2020,,Salary,OFFICE,0,0,Yes,Walk-in,Contract,
33,No,Travel_Rarely,Research & Development,2,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,0,7,3,1,0,0,PHD,03-06-2020,,Work Environment,OFFICE,1,0,Yes,Job Event,Contract,
39,Yes,Travel_Rarely,Sales,5,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,1,19,6,1,0,0,Post-Graduation,27-04-2020,,Dept.Head,OFFICE,5,0,No,Recruiter,Contract,
36,No,Travel_Rarely,Research & Development,5,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,1,6,3,1,0,0,Graduation,24-03-2020,,Work Environment,OFFICE,4,2,No,Recruiter,Part Time,
35,No,Travel_Rarely,Research & Development,4,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,1,3,1,0,0,Graduation,14-06-2020,,Better Opportunity,WFH,0,3,No,Job Portal,FullTime,
27,No,Travel_Rarely,Research & Development,2,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,1,6,1,0,0,12th,04-03-2020,,Better Opportunity,OFFICE,5,0,No,Job Event,Part Time,
26,Yes,Travel_Rarely,Research & Development,25,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,0,1,2,1,0,1,Post-Graduation,15-01-2020,,Dept.Head,WFH,4,3,No,Job Portal,Part Time,
37,No,Travel_Rarely,Research & Development,19,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,0,8,1,1,0,0,PHD,04-02-2020,,Work Environment,WFH,5,1,No,Job Event,Part Time,
35,No,Travel_Rarely,Research & Development,8,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,0,1,2,1,0,1,PHD,21-04-2020,,Salary,OFFICE,2,2,Yes,Walk-in,FullTime,
48,Yes,Travel_Rarely,Research & Development,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,0,23,2,1,0,0,Graduation,08-01-2020,,Work Accident,OFFICE,4,2,No,Recruiter,Contract,
45,No,Travel_Rarely,Research & Development,7,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,1,25,2,1,0,0,Graduation,09-01-2020,,Work Environment,OFFICE,5,0,No,Job Portal,Part Time,
36,Yes,Travel_Rarely,Research & Development,9,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,2,0,1,0,0,Post-Graduation,09-01-2020,,Work Accident,WFH,4,3,Yes,Job Event,FullTime,
31,No,Travel_Rarely,Research & Development,1,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,0,1,4,1,1,0,Graduation,14-05-2020,,Salary,WFH,0,3,No,Recruiter,Contract,
36,No,Travel_Rarely,Research & Development,6,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,0,5,3,1,0,0,12th,15-01-2020,,Dept.Head,OFFICE,3,1,Yes,Walk-in,Contract,
55,No,Travel_Rarely,Sales,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,1,24,4,1,1,0,PHD,09-02-2020,,Work Environment,WFH,0,2,No,Job Portal,FullTime,
32,No,Travel_Rarely,Research & Development,1,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,0,1,2,1,0,0,12th,20-02-2020,,Salary,WFH,4,1,Yes,Job Portal,FullTime,
20,Yes,Travel_Frequently,Research & Development,6,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,0,1,5,1,1,0,Graduation,27-03-2020,,Dept.Head,WFH,3,3,No,Recruiter,Contract,
37,No,Non-Travel,Research & Development,2,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,1,17,2,1,0,0,12th,24-01-2020,,Work Environment,WFH,3,0,No,Recruiter,Contract,
34,No,Travel_Rarely,Research & Development,6,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,1,12,3,1,0,0,12th,16-06-2020,,Salary,WFH,5,2,Yes,Job Portal,Contract,
36,No,Travel_Rarely,Research & Development,3,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,7,2,1,0,0,Graduation,29-03-2020,,Salary,OFFICE,5,2,No,Job Event,FullTime,
19,No,Travel_Rarely,Research & Development,3,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,0,1,3,1,0,0,12th,22-03-2020,,Work Accident,OFFICE,0,0,No,Job Event,FullTime,
51,No,Travel_Rarely,Research & Development,7,Male,2,2,Manufacturing Director,3,Married,6132,2,No,17,3,0,10,2,1,0,0,Post-Graduation,14-04-2020,,Work Environment,WFH,1,1,Yes,Job Event,Contract,
58,No,Travel_Rarely,Research & Development,9,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,1,9,3,1,0,0,Graduation,10-05-2020,,Work Accident,WFH,3,0,No,Job Event,Contract,
27,No,Non-Travel,Research & Development,3,Male,2,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,1,2,1,0,1,Post-Graduation,10-03-2020,,Work Environment,WFH,5,1,Yes,Job Event,Contract,
19,Yes,Travel_Rarely,Research & Development,2,Male,2,1,Laboratory Technician,4,Single,1102,1,No,22,4,0,1,3,1,1,0,Post-Graduation,04-04-2020,,Work Environment,OFFICE,0,1,No,Job Portal,Contract,
35,Yes,Travel_Rarely,Research & Development,23,Male,2,2,Manufacturing Director,3,Married,5916,3,Yes,13,3,0,8,1,1,0,1,PHD,18-03-2020,,Salary,WFH,0,0,Yes,Recruiter,FullTime,
38,No,Travel_Rarely,Research & Development,2,Male,3,2,Manufacturing Director,3,Married,6553,9,No,14,3,0,14,3,1,0,0,Post-Graduation,18-05-2020,,Better Opportunity,OFFICE,3,2,Yes,Job Event,FullTime,
38,Yes,Travel_Rarely,Research & Development,29,Male,3,2,Healthcare Representative,1,Married,6673,7,Yes,19,3,0,17,2,1,0,0,Post-Graduation,05-01-2020,,Better Opportunity,OFFICE,3,2,No,Recruiter,Part Time,
41,No,Travel_Rarely,Sales,6,Female,3,3,Manager,4,Single,13591,3,Yes,18,3,0,16,3,1,0,0,PHD,16-05-2020,,Work Accident,WFH,5,1,Yes,Walk-in,Part Time,
59,No,Travel_Rarely,Research & Development,3,Male,2,1,Research Scientist,4,Married,2177,3,No,17,3,1,7,6,1,0,0,PHD,17-05-2020,,Dept.Head,OFFICE,4,1,Yes,Recruiter,Contract,
41,No,Travel_Rarely,Research & Development,19,Male,3,2,Research Scientist,1,Divorced,3072,2,No,16,3,2,17,2,1,0,0,Graduation,31-05-2020,,Dept.Head,WFH,0,1,Yes,Job Event,Part Time,
37,Yes,Travel_Frequently,Research & Development,10,Male,3,3,Manufacturing Director,3,Divorced,10048,6,No,11,3,2,17,5,1,0,0,Graduation,29-05-2020,,Salary,WFH,0,1,Yes,Recruiter,Part Time,
51,No,Travel_Rarely,Research & Development,1,Male,3,1,Research Scientist,4,Married,2723,1,No,11,3,0,1,0,1,0,0,12th,02-04-2020,,Better Opportunity,WFH,2,1,Yes,Recruiter,Part Time,
44,Yes,Travel_Frequently,Research & Development,24,Male,3,1,Laboratory Technician,3,Divorced,3161,3,Yes,22,4,1,19,0,1,0,0,Post-Graduation,29-01-2020,,Work Accident,OFFICE,0,2,No,Recruiter,Contract,
36,No,Travel_Frequently,Research & Development,18,Male,4,1,Laboratory Technician,4,Married,3688,4,No,18,3,2,4,2,1,0,0,12th,06-01-2020,,Better Opportunity,OFFICE,4,0,No,Recruiter,FullTime,
39,Yes,Travel_Rarely,Sales,3,Female,3,2,Sales Executive,3,Married,5238,4,Yes,18,3,0,12,3,1,0,0,PHD,01-05-2020,,Work Accident,OFFICE,0,1,Yes,Job Event,FullTime,
43,No,Travel_Rarely,Research & Development,7,Female,3,3,Healthcare Representative,1,Married,9985,8,No,16,3,1,10,1,1,0,0,Graduation,15-04-2020,,Dept.Head,WFH,1,3,No,Recruiter,FullTime,
42,No,Travel_Rarely,Research & Development,23,Female,3,4,Research Director,4,Single,15992,2,No,14,3,0,16,2,1,0,0,Graduation,11-01-2020,,Work Accident,WFH,1,0,No,Job Event,FullTime,
42,No,Travel_Rarely,Research & Development,2,Male,2,2,Healthcare Representative,4,Single,6781,3,No,23,4,0,14,6,1,0,0,12th,26-04-2020,,Work Accident,WFH,3,0,Yes,Job Event,Contract,
36,No,Non-Travel,Sales,1,Female,3,2,Sales Executive,4,Single,6653,4,No,15,3,0,7,6,1,0,0,Post-Graduation,26-04-2020,,Work Environment,WFH,3,0,No,Recruiter,Contract,
33,Yes,Travel_Rarely,Sales,5,Female,3,1,Sales Representative,3,Single,2851,1,Yes,13,3,0,1,2,1,0,0,PHD,23-02-2020,,Work Environment,OFFICE,0,1,No,Recruiter,Contract,
46,No,Non-Travel,Research & Development,7,Female,3,2,Manufacturing Director,3,Married,5258,2,No,14,3,0,7,2,1,0,0,Graduation,21-05-2020,,Better Opportunity,WFH,1,3,No,Walk-in,Contract,
21,Yes,Travel_Rarely,Sales,12,Female,4,1,Sales Representative,2,Single,2716,1,No,15,3,0,1,0,1,0,0,12th,19-05-2020,,Salary,WFH,1,1,Yes,Recruiter,Part Time,
35,No,Travel_Rarely,Research & Development,9,Male,2,2,Healthcare Representative,2,Single,6540,9,No,19,3,0,10,5,1,0,0,Post-Graduation,12-04-2020,,Work Accident,OFFICE,1,2,No,Job Event,FullTime,
30,No,Travel_Rarely,Sales,2,Male,3,1,Sales Representative,2,Married,2476,1,No,18,3,1,1,3,1,0,0,PHD,10-02-2020,,Dept.Head,WFH,4,2,No,Job Event,FullTime,
30,Yes,Travel_Frequently,Research & Development,4,Male,3,1,Research Scientist,4,Single,2285,9,Yes,23,4,0,3,4,1,0,0,12th,07-02-2020,,Work Accident,WFH,4,1,Yes,Job Event,FullTime,
37,No,Travel_Rarely,Research & Development,10,Male,3,2,Manufacturing Director,2,Single,4197,2,Yes,12,3,0,18,2,1,0,1,Graduation,12-05-2020,,Work Accident,OFFICE,3,3,No,Job Event,FullTime,
40,No,Travel_Rarely,Research & Development,2,Female,2,2,Laboratory Technician,3,Married,3448,6,No,22,4,1,20,3,1,0,0,Graduation,02-03-2020,,Salary,WFH,5,1,No,Recruiter,Contract,
38,No,Travel_Frequently,Research & Development,2,Male,3,1,Laboratory Technician,4,Married,1702,1,Yes,23,4,1,1,3,1,0,0,12th,21-04-2020,,Salary,WFH,5,2,No,Recruiter,FullTime,
19,Yes,Travel_Rarely,Human Resources,2,Male,2,1,Human Resources,4,Single,2564,1,No,12,3,0,1,3,1,0,0,Post-Graduation,21-01-2020,,Work Accident,WFH,0,0,Yes,Walk-in,FullTime,
57,No,Travel_Rarely,Sales,29,Male,2,4,Manager,4,Divorced,14118,3,No,12,3,1,32,3,1,0,0,Post-Graduation,22-02-2020,,Work Accident,WFH,2,3,No,Walk-in,Contract,
54,No,Travel_Rarely,Research & Development,8,Female,3,2,Laboratory Technician,3,Single,3780,7,No,11,3,0,19,3,1,0,0,Graduation,17-02-2020,,Better Opportunity,WFH,0,3,No,Job Event,FullTime,
31,Yes,Travel_Frequently,Research & Development,20,Male,3,3,Healthcare Representative,3,Married,9824,3,No,12,3,0,12,2,1,0,0,Graduation,12-04-2020,,Salary,WFH,4,0,Yes,Job Portal,FullTime,
40,No,Non-Travel,Sales,28,Male,1,3,Sales Executive,1,Divorced,10932,3,No,15,3,1,20,2,1,0,1,PHD,26-06-2020,,Dept.Head,WFH,3,3,No,Walk-in,FullTime,
26,Yes,Travel_Rarely,Research & Development,24,Male,1,1,Laboratory Technician,4,Single,2340,1,Yes,18,3,0,1,3,1,0,0,12th,30-04-2020,,Salary,WFH,2,2,No,Job Portal,Contract,
38,No,Travel_Rarely,Research & Development,10,Female,3,2,Healthcare Representative,3,Married,9824,3,No,19,3,1,18,4,1,0,0,12th,04-03-2020,,Salary,WFH,0,3,No,Walk-in,Contract,
24,No,Travel_Rarely,Research & Development,17,Male,2,1,Laboratory Technician,2,Married,2127,1,No,21,4,1,1,2,1,0,0,PHD,25-02-2020,,Work Accident,OFFICE,5,3,Yes,Job Portal,FullTime,
30,Yes,Travel_Frequently,Sales,12,Male,2,1,Sales Representative,1,Married,2033,1,No,18,3,1,1,2,1,0,0,Graduation,21-01-2020,,Salary,WFH,4,3,Yes,Job Event,Contract,
20,No,Travel_Rarely,Research & Development,1,Female,2,1,Research Scientist,2,Single,2836,1,No,13,3,0,1,0,1,0,0,12th,08-05-2020,,Salary,WFH,0,2,No,Job Portal,Part Time,
43,No,Travel_Rarely,Research & Development,6,Male,2,4,Research Director,4,Divorced,16627,4,Yes,14,3,1,21,3,1,0,0,12th,13-02-2020,,Dept.Head,WFH,4,3,No,Job Event,Contract,
30,No,Travel_Frequently,Research & Development,3,Female,3,1,Research Scientist,3,Divorced,2083,1,No,20,4,1,1,2,1,0,0,Graduation,28-05-2020,,Work Environment,WFH,4,0,Yes,Walk-in,FullTime,
45,Yes,Travel_Frequently,Sales,26,Female,3,2,Sales Executive,1,Married,4286,2,No,14,3,2,5,4,1,0,0,Post-Graduation,30-01-2020,,Dept.Head,OFFICE,0,3,Yes,Job Portal,Contract,
20,Yes,Travel_Rarely,Research & Development,10,Male,3,1,Research Scientist,3,Single,1009,1,Yes,11,3,0,1,5,1,1,1,Graduation,09-06-2020,,Salary,OFFICE,1,3,No,Job Portal,FullTime,
35,No,Non-Travel,Research & Development,3,Male,2,1,Laboratory Technician,3,Married,1281,1,No,18,3,2,1,3,1,0,0,Graduation,24-05-2020,,Salary,WFH,0,1,Yes,Job Event,FullTime,
37,No,Travel_Rarely,Research & Development,10,Male,4,1,Research Scientist,4,Single,4680,3,No,17,3,0,4,2,1,0,0,Graduation,04-04-2020,,Work Accident,WFH,5,3,Yes,Recruiter,FullTime,
38,No,Travel_Rarely,Research & Development,1,Female,3,3,Manufacturing Director,3,Single,7861,4,Yes,14,3,0,10,4,1,0,0,Post-Graduation,12-06-2020,,Better Opportunity,OFFICE,4,2,No,Job Event,Contract,
29,No,Travel_Rarely,Sales,10,Male,3,1,Sales Representative,3,Single,2642,1,No,11,3,0,1,6,1,0,0,12th,14-04-2020,,Salary,WFH,5,2,No,Job Event,Contract,
35,No,Non-Travel,Research & Development,2,Female,3,2,Healthcare Representative,1,Divorced,5093,2,No,11,3,1,16,2,1,0,0,Post-Graduation,30-06-2020,,Work Accident,WFH,0,0,No,Walk-in,Part Time,
38,No,Travel_Rarely,Research & Development,2,Male,3,1,Research Scientist,3,Married,3057,6,Yes,13,3,1,6,0,1,0,1,Post-Graduation,04-04-2020,,Better Opportunity,OFFICE,1,0,No,Walk-in,FullTime,
24,No,Non-Travel,Research & Development,9,Male,2,1,Laboratory Technician,2,Divorced,2694,1,No,11,3,3,1,4,1,0,0,Graduation,10-06-2020,,Work Environment,OFFICE,3,2,No,Job Event,Part Time,
29,Yes,Travel_Rarely,Research & Development,1,Female,2,1,Laboratory Technician,1,Married,2319,1,Yes,11,3,1,1,1,1,0,0,Post-Graduation,13-04-2020,,Salary,OFFICE,3,1,No,Walk-in,Part Time,
40,No,Travel_Frequently,Research & Development,16,Male,2,2,Laboratory Technician,3,Single,5094,6,No,14,3,0,10,6,1,0,0,12th,26-01-2020,,Dept.Head,OFFICE,2,2,Yes,Recruiter,Part Time,
45,No,Travel_Rarely,Research & Development,2,Female,2,1,Research Scientist,3,Single,2274,1,No,14,3,0,1,3,1,0,0,Post-Graduation,04-06-2020,,Dept.Head,OFFICE,4,3,Yes,Walk-in,Contract,
37,No,Travel_Rarely,Sales,16,Male,2,2,Sales Executive,3,Divorced,6334,4,No,19,3,2,9,2,1,0,0,12th,08-01-2020,,Work Accident,OFFICE,0,0,No,Walk-in,Part Time,
32,Yes,Travel_Rarely,Research & Development,25,Male,3,1,Laboratory Technician,4,Single,2795,1,Yes,24,4,0,1,2,1,0,1,12th,30-04-2020,,Work Accident,WFH,2,1,Yes,Job Portal,Part Time,
58,Yes,Travel_Frequently,Research & Development,2,Male,2,1,Laboratory Technician,4,Divorced,2380,9,Yes,14,3,1,3,3,1,0,0,PHD,08-06-2020,,Better Opportunity,OFFICE,0,2,Yes,Recruiter,Contract,
43,No,Travel_Rarely,Research & Development,8,Female,3,2,Manufacturing Director,2,Divorced,4765,4,No,21,4,1,4,2,1,0,0,Post-Graduation,02-02-2020,,Better Opportunity,OFFICE,3,3,No,Job Portal,FullTime,
21,Yes,Travel_Rarely,Research & Development,18,Female,3,1,Research Scientist,4,Single,2693,1,No,19,3,0,1,3,1,0,0,Post-Graduation,08-06-2020,,Work Environment,WFH,4,0,No,Walk-in,Part Time,
27,No,Travel_Rarely,Research & Development,4,Female,3,1,Research Scientist,3,Single,2318,1,No,19,3,0,1,2,1,0,0,12th,26-04-2020,,Better Opportunity,OFFICE,4,3,Yes,Job Portal,FullTime,
34,No,Travel_Rarely,Research & Development,10,Male,3,1,Laboratory Technician,2,Divorced,2008,1,No,14,3,2,1,3,1,1,0,12th,26-06-2020,,Dept.Head,WFH,4,1,No,Walk-in,FullTime,
